skor_variansi,skor_edge_density,skor_entropi,skor_grabcut,skor_akhir,kategori,nama_file,label,status
0.717,0.597,0.41,0.217,0.52,perlu_cek_manual,R_1088.jpg,Recyclable,ok
1.0,0.146,0.301,0.346,0.473,perlu_cek_manual,R_1090.jpg,Recyclable,ok
0.492,0.381,0.867,0.406,0.517,perlu_cek_manual,R_1091.jpg,Recyclable,ok
0.576,0.351,0.829,0.092,0.462,perlu_cek_manual,R_1092.jpg,Recyclable,ok
1.0,0.396,0.902,0.191,0.637,perlu_cek_manual,R_1093.jpg,Recyclable,ok
0.334,0.306,0.854,0.324,0.428,perlu_cek_manual,R_1095.jpg,Recyclable,ok
0.588,0.513,0.669,0.395,0.543,perlu_cek_manual,R_1098.jpg,Recyclable,ok
0.335,0.283,0.894,0.684,0.501,perlu_cek_manual,R_1101.jpg,Recyclable,ok
0.619,0.359,0.638,0.181,0.457,perlu_cek_manual,R_1102.jpg,Recyclable,ok
0.403,0.329,0.358,0.296,0.35,perlu_cek_manual,R_1107.jpg,Recyclable,ok
0.792,0.136,0.636,0.385,0.483,perlu_cek_manual,R_1116.jpg,Recyclable,ok
0.693,0.334,0.925,0.384,0.57,perlu_cek_manual,R_1118.jpg,Recyclable,ok
1.0,0.218,0.539,0.408,0.555,perlu_cek_manual,R_112.jpg,Recyclable,ok
1.0,0.315,1.0,0.184,0.631,perlu_cek_manual,R_1121.jpg,Recyclable,ok
1.0,0.199,0.524,0.411,0.547,perlu_cek_manual,R_1122.jpg,Recyclable,ok
0.324,0.486,0.92,0.108,0.448,perlu_cek_manual,R_1124.jpg,Recyclable,ok
0.459,0.494,0.573,0.441,0.489,perlu_cek_manual,R_1125.jpg,Recyclable,ok
1.0,0.153,0.945,0.045,0.544,perlu_cek_manual,R_1128.jpg,Recyclable,ok
0.513,0.477,0.519,0.369,0.475,perlu_cek_manual,R_1129.jpg,Recyclable,ok
0.229,0.286,0.781,0.274,0.365,perlu_cek_manual,R_1131.jpg,Recyclable,ok
0.909,0.157,0.954,0.52,0.614,perlu_cek_manual,R_1133.jpg,Recyclable,ok
0.508,0.157,0.94,0.105,0.409,perlu_cek_manual,R_1135.jpg,Recyclable,ok
0.5,0.377,0.481,0.555,0.47,perlu_cek_manual,R_1138.jpg,Recyclable,ok
0.606,0.394,0.996,0.234,0.546,perlu_cek_manual,R_114.jpg,Recyclable,ok
0.818,0.409,0.916,0.089,0.569,perlu_cek_manual,R_1141.jpg,Recyclable,ok
0.439,0.526,0.906,0.096,0.49,perlu_cek_manual,R_1144.jpg,Recyclable,ok
1.0,0.0,0.964,0.427,0.578,perlu_cek_manual,R_1147.jpg,Recyclable,ok
0.499,0.801,0.948,0.243,0.628,perlu_cek_manual,R_1150.jpg,Recyclable,ok
0.256,0.485,0.269,0.456,0.367,perlu_cek_manual,R_1153.jpg,Recyclable,ok
0.761,0.284,0.436,0.305,0.461,perlu_cek_manual,R_1159.jpg,Recyclable,ok
1.0,0.179,0.754,0.227,0.55,perlu_cek_manual,R_116.jpg,Recyclable,ok
0.704,0.295,0.942,0.431,0.574,perlu_cek_manual,R_1167.jpg,Recyclable,ok
0.524,0.554,0.402,0.256,0.455,perlu_cek_manual,R_1168.jpg,Recyclable,ok
0.537,0.747,0.697,0.567,0.638,perlu_cek_manual,R_1169.jpg,Recyclable,ok
0.798,0.586,0.532,0.0,0.521,perlu_cek_manual,R_117.jpg,Recyclable,ok
0.462,0.304,0.816,0.16,0.425,perlu_cek_manual,R_1173.jpg,Recyclable,ok
0.534,0.459,0.592,0.61,0.538,perlu_cek_manual,R_1174.jpg,Recyclable,ok
0.607,0.469,0.543,0.206,0.473,perlu_cek_manual,R_1175.jpg,Recyclable,ok
1.0,0.247,0.848,0.51,0.646,perlu_cek_manual,R_118.jpg,Recyclable,ok
0.803,0.488,0.626,0.574,0.627,perlu_cek_manual,R_1182.jpg,Recyclable,ok
1.0,0.496,0.562,0.168,0.595,perlu_cek_manual,R_1184.jpg,Recyclable,ok
0.214,1.0,0.289,0.41,0.504,perlu_cek_manual,R_1187.jpg,Recyclable,ok
1.0,0.272,1.0,0.024,0.586,perlu_cek_manual,R_1188.jpg,Recyclable,ok
0.485,0.359,0.781,0.05,0.419,perlu_cek_manual,R_1191.jpg,Recyclable,ok
0.706,0.38,0.84,0.421,0.578,perlu_cek_manual,R_1194.jpg,Recyclable,ok
0.383,0.495,0.83,0.557,0.541,perlu_cek_manual,R_1197.jpg,Recyclable,ok
0.912,0.384,0.738,0.532,0.643,perlu_cek_manual,R_1198.jpg,Recyclable,ok
0.336,0.395,0.477,0.473,0.409,perlu_cek_manual,R_1200.jpg,Recyclable,ok
0.408,0.711,0.698,0.321,0.54,perlu_cek_manual,R_1202.jpg,Recyclable,ok
1.0,0.0,0.855,0.582,0.587,perlu_cek_manual,R_1205.jpg,Recyclable,ok
0.627,0.44,0.514,0.597,0.542,perlu_cek_manual,R_1208.jpg,Recyclable,ok
0.498,0.364,0.319,0.586,0.439,perlu_cek_manual,R_1210.jpg,Recyclable,ok
0.388,0.969,0.447,0.289,0.555,perlu_cek_manual,R_1212.jpg,Recyclable,ok
0.503,0.62,0.894,0.184,0.553,perlu_cek_manual,R_1217.jpg,Recyclable,ok
0.55,0.275,0.857,0.398,0.499,perlu_cek_manual,R_1219.jpg,Recyclable,ok
0.447,0.177,0.854,0.236,0.405,perlu_cek_manual,R_1222.jpg,Recyclable,ok
0.73,0.444,0.427,0.201,0.478,perlu_cek_manual,R_1230.jpg,Recyclable,ok
0.469,0.454,0.971,0.223,0.516,perlu_cek_manual,R_1233.jpg,Recyclable,ok
0.448,0.344,0.422,0.366,0.395,perlu_cek_manual,R_1243.jpg,Recyclable,ok
0.497,0.491,0.695,0.427,0.521,perlu_cek_manual,R_1246.jpg,Recyclable,ok
0.178,0.185,0.853,0.475,0.374,perlu_cek_manual,R_1248.jpg,Recyclable,ok
1.0,0.104,1.0,0.046,0.54,perlu_cek_manual,R_125.jpg,Recyclable,ok
0.278,0.164,0.897,0.272,0.367,perlu_cek_manual,R_1255.jpg,Recyclable,ok
0.495,0.557,0.587,0.494,0.532,perlu_cek_manual,R_1257.jpg,Recyclable,ok
0.323,0.435,0.786,0.46,0.477,perlu_cek_manual,R_1258.jpg,Recyclable,ok
0.506,0.0,0.915,0.445,0.424,perlu_cek_manual,R_1263.jpg,Recyclable,ok
0.395,0.17,0.886,0.48,0.442,perlu_cek_manual,R_1265.jpg,Recyclable,ok
1.0,0.308,0.529,0.634,0.625,perlu_cek_manual,R_1267.jpg,Recyclable,ok
0.238,0.515,0.4,0.335,0.373,perlu_cek_manual,R_1269.jpg,Recyclable,ok
0.378,0.298,0.677,0.077,0.354,perlu_cek_manual,R_1271.jpg,Recyclable,ok
0.408,0.354,0.315,0.559,0.403,perlu_cek_manual,R_1273.jpg,Recyclable,ok
0.566,0.349,0.862,0.096,0.466,perlu_cek_manual,R_1274.jpg,Recyclable,ok
0.518,0.252,0.935,0.344,0.487,perlu_cek_manual,R_128.jpg,Recyclable,ok
0.833,0.331,0.39,0.325,0.492,perlu_cek_manual,R_1280.jpg,Recyclable,ok
0.413,0.577,0.456,0.524,0.493,perlu_cek_manual,R_1287.jpg,Recyclable,ok
0.56,0.517,0.921,0.429,0.593,perlu_cek_manual,R_1289.jpg,Recyclable,ok
0.733,0.627,0.959,0.048,0.61,perlu_cek_manual,R_129.jpg,Recyclable,ok
0.588,0.556,0.566,0.185,0.494,perlu_cek_manual,R_1291.jpg,Recyclable,ok
1.0,0.239,0.968,0.13,0.592,perlu_cek_manual,R_1292.jpg,Recyclable,ok
0.658,0.646,0.828,0.362,0.629,perlu_cek_manual,R_1293.jpg,Recyclable,ok
0.967,0.296,0.758,0.307,0.592,perlu_cek_manual,R_1295.jpg,Recyclable,ok
0.263,0.681,0.259,0.565,0.448,perlu_cek_manual,R_1296.jpg,Recyclable,ok
0.232,0.283,0.651,0.344,0.354,perlu_cek_manual,R_1297.jpg,Recyclable,ok
0.667,0.855,0.625,0.257,0.633,perlu_cek_manual,R_1299.jpg,Recyclable,ok
0.425,0.976,0.515,0.367,0.597,perlu_cek_manual,R_1301.jpg,Recyclable,ok
0.314,0.424,0.861,0.275,0.449,perlu_cek_manual,R_1304.jpg,Recyclable,ok
0.61,0.839,0.835,0.085,0.618,perlu_cek_manual,R_1307.jpg,Recyclable,ok
0.643,0.46,0.525,0.265,0.489,perlu_cek_manual,R_1309.jpg,Recyclable,ok
1.0,0.22,0.966,0.432,0.645,perlu_cek_manual,R_1312.jpg,Recyclable,ok
0.369,0.918,0.503,0.567,0.6,perlu_cek_manual,R_1313.jpg,Recyclable,ok
0.382,0.533,0.58,0.513,0.493,perlu_cek_manual,R_1315.jpg,Recyclable,ok
0.406,0.508,0.73,0.568,0.534,perlu_cek_manual,R_1319.jpg,Recyclable,ok
0.524,0.0,0.924,0.339,0.41,perlu_cek_manual,R_1323.jpg,Recyclable,ok
1.0,0.09,0.975,0.371,0.596,perlu_cek_manual,R_1324.jpg,Recyclable,ok
0.563,0.502,0.608,0.522,0.545,perlu_cek_manual,R_1326.jpg,Recyclable,ok
0.854,0.464,0.977,0.278,0.647,perlu_cek_manual,R_1327.jpg,Recyclable,ok
0.472,0.833,0.57,0.366,0.579,perlu_cek_manual,R_1328.jpg,Recyclable,ok
0.198,0.113,0.77,0.593,0.366,perlu_cek_manual,R_1331.jpg,Recyclable,ok
1.0,0.268,0.952,0.337,0.638,perlu_cek_manual,R_1334.jpg,Recyclable,ok
0.608,0.594,0.973,0.198,0.595,perlu_cek_manual,R_1335.jpg,Recyclable,ok
0.533,0.636,0.65,0.472,0.575,perlu_cek_manual,R_1337.jpg,Recyclable,ok
0.8,0.437,0.313,0.024,0.438,perlu_cek_manual,R_1343.jpg,Recyclable,ok
0.483,0.415,0.931,0.357,0.527,perlu_cek_manual,R_1351.jpg,Recyclable,ok
0.736,0.523,1.0,0.226,0.623,perlu_cek_manual,R_1352.jpg,Recyclable,ok
0.987,0.596,0.369,0.241,0.597,perlu_cek_manual,R_1354.jpg,Recyclable,ok
0.614,0.536,0.943,0.58,0.65,perlu_cek_manual,R_1357.jpg,Recyclable,ok
0.753,0.7,0.972,0.032,0.637,perlu_cek_manual,R_1361.jpg,Recyclable,ok
0.567,0.72,0.834,0.349,0.623,perlu_cek_manual,R_1362.jpg,Recyclable,ok
0.587,0.27,0.44,0.317,0.409,perlu_cek_manual,R_1363.jpg,Recyclable,ok
0.668,0.247,0.926,0.573,0.574,perlu_cek_manual,R_1370.jpg,Recyclable,ok
1.0,0.281,0.578,0.625,0.625,perlu_cek_manual,R_1373.jpg,Recyclable,ok
0.772,0.219,0.411,0.165,0.413,perlu_cek_manual,R_1375.jpg,Recyclable,ok
0.87,0.507,0.968,0.026,0.612,perlu_cek_manual,R_1376.jpg,Recyclable,ok
0.457,0.814,0.767,0.23,0.581,perlu_cek_manual,R_1378.jpg,Recyclable,ok
0.695,0.143,0.954,0.447,0.532,perlu_cek_manual,R_1380.jpg,Recyclable,ok
0.259,0.388,0.885,0.484,0.468,perlu_cek_manual,R_1383.jpg,Recyclable,ok
0.44,0.38,0.288,0.377,0.379,perlu_cek_manual,R_1386.jpg,Recyclable,ok
0.49,0.242,0.871,0.34,0.462,perlu_cek_manual,R_1389.jpg,Recyclable,ok
0.69,0.814,0.426,0.4,0.616,perlu_cek_manual,R_1390.jpg,Recyclable,ok
0.845,0.62,1.0,0.047,0.649,perlu_cek_manual,R_1392.jpg,Recyclable,ok
0.123,0.569,0.757,0.19,0.397,perlu_cek_manual,R_1393.jpg,Recyclable,ok
1.0,0.194,0.951,0.199,0.588,perlu_cek_manual,R_1395.jpg,Recyclable,ok
1.0,0.243,0.846,0.245,0.591,perlu_cek_manual,R_1396.jpg,Recyclable,ok
0.283,0.447,0.779,0.373,0.449,perlu_cek_manual,R_1398.jpg,Recyclable,ok
1.0,0.0,0.978,0.001,0.496,perlu_cek_manual,R_1402.jpg,Recyclable,ok
1.0,0.1,0.548,0.252,0.49,perlu_cek_manual,R_1404.jpg,Recyclable,ok
1.0,0.364,0.884,0.233,0.633,perlu_cek_manual,R_1406.jpg,Recyclable,ok
1.0,0.07,0.965,0.398,0.594,perlu_cek_manual,R_1412.jpg,Recyclable,ok
0.778,0.236,0.942,0.264,0.546,perlu_cek_manual,R_1414.jpg,Recyclable,ok
0.796,0.0,0.9,0.47,0.513,perlu_cek_manual,R_1415.jpg,Recyclable,ok
0.344,0.546,0.898,0.438,0.534,perlu_cek_manual,R_1419.jpg,Recyclable,ok
0.442,1.0,0.495,0.295,0.591,perlu_cek_manual,R_1423.jpg,Recyclable,ok
1.0,0.351,0.776,0.158,0.592,perlu_cek_manual,R_1425.jpg,Recyclable,ok
0.411,0.356,0.443,0.208,0.361,perlu_cek_manual,R_1426.jpg,Recyclable,ok
0.256,0.208,0.776,0.395,0.373,perlu_cek_manual,R_1433.jpg,Recyclable,ok
0.346,0.232,0.588,0.372,0.365,perlu_cek_manual,R_1434.jpg,Recyclable,ok
0.256,1.0,0.873,0.358,0.623,perlu_cek_manual,R_1437.jpg,Recyclable,ok
0.495,0.459,0.632,0.37,0.487,perlu_cek_manual,R_1439.jpg,Recyclable,ok
1.0,0.19,0.456,0.55,0.558,perlu_cek_manual,R_1441.jpg,Recyclable,ok
0.264,1.0,0.68,0.172,0.55,perlu_cek_manual,R_1442.jpg,Recyclable,ok
1.0,0.125,0.955,0.361,0.601,perlu_cek_manual,R_1445.jpg,Recyclable,ok
0.424,1.0,0.774,0.322,0.647,perlu_cek_manual,R_1446.jpg,Recyclable,ok
0.344,0.578,0.536,0.276,0.439,perlu_cek_manual,R_1448.jpg,Recyclable,ok
0.348,0.45,0.453,0.317,0.393,perlu_cek_manual,R_145.jpg,Recyclable,ok
0.462,0.689,0.936,0.368,0.606,perlu_cek_manual,R_1451.jpg,Recyclable,ok
0.24,0.63,0.641,0.497,0.488,perlu_cek_manual,R_1452.jpg,Recyclable,ok
0.322,0.264,0.762,0.422,0.413,perlu_cek_manual,R_1454.jpg,Recyclable,ok
0.248,0.232,0.876,0.414,0.402,perlu_cek_manual,R_1455.jpg,Recyclable,ok
0.071,1.0,0.602,0.316,0.505,perlu_cek_manual,R_1458.jpg,Recyclable,ok
0.403,0.139,0.914,0.614,0.468,perlu_cek_manual,R_1465.jpg,Recyclable,ok
0.568,0.229,0.792,0.682,0.534,perlu_cek_manual,R_1468.jpg,Recyclable,ok
1.0,0.074,0.79,0.446,0.569,perlu_cek_manual,R_1471.jpg,Recyclable,ok
1.0,0.0,1.0,0.0,0.5,perlu_cek_manual,R_1475.jpg,Recyclable,ok
0.294,1.0,0.533,0.288,0.552,perlu_cek_manual,R_1478.jpg,Recyclable,ok
0.806,0.649,0.78,0.087,0.61,perlu_cek_manual,R_1479.jpg,Recyclable,ok
0.457,0.118,0.885,0.196,0.389,perlu_cek_manual,R_148.jpg,Recyclable,ok
0.73,0.417,0.794,0.052,0.513,perlu_cek_manual,R_1480.jpg,Recyclable,ok
0.044,0.794,0.424,0.529,0.442,perlu_cek_manual,R_1481.jpg,Recyclable,ok
0.447,0.305,0.432,0.506,0.413,perlu_cek_manual,R_1482.jpg,Recyclable,ok
0.501,0.393,0.858,0.395,0.519,perlu_cek_manual,R_1487.jpg,Recyclable,ok
0.139,0.464,0.576,0.328,0.362,perlu_cek_manual,R_1497.jpg,Recyclable,ok
1.0,0.0,1.0,0.003,0.501,perlu_cek_manual,R_1499.jpg,Recyclable,ok
0.218,1.0,0.345,0.323,0.499,perlu_cek_manual,R_1503.jpg,Recyclable,ok
0.477,0.254,0.439,0.363,0.38,perlu_cek_manual,R_1505.jpg,Recyclable,ok
0.315,0.965,0.755,0.488,0.633,perlu_cek_manual,R_151.jpg,Recyclable,ok
0.398,0.559,0.845,0.331,0.522,perlu_cek_manual,R_1512.jpg,Recyclable,ok
0.75,0.251,0.941,0.186,0.526,perlu_cek_manual,R_1514.jpg,Recyclable,ok
1.0,0.375,1.0,0.157,0.644,perlu_cek_manual,R_1515.jpg,Recyclable,ok
0.576,0.54,0.578,0.346,0.52,perlu_cek_manual,R_1516.jpg,Recyclable,ok
0.945,0.21,0.894,0.455,0.616,perlu_cek_manual,R_1518.jpg,Recyclable,ok
0.65,0.276,0.481,0.144,0.403,perlu_cek_manual,R_152.jpg,Recyclable,ok
1.0,0.265,0.936,0.372,0.641,perlu_cek_manual,R_1525.jpg,Recyclable,ok
0.463,0.332,0.562,0.239,0.399,perlu_cek_manual,R_1526.jpg,Recyclable,ok
0.259,0.303,0.845,0.297,0.397,perlu_cek_manual,R_1528.jpg,Recyclable,ok
0.512,0.332,0.452,0.364,0.416,perlu_cek_manual,R_153.jpg,Recyclable,ok
0.432,0.35,0.412,0.333,0.384,perlu_cek_manual,R_1531.jpg,Recyclable,ok
0.435,0.231,0.36,0.412,0.354,perlu_cek_manual,R_1533.jpg,Recyclable,ok
0.663,0.74,0.735,0.32,0.632,perlu_cek_manual,R_1534.jpg,Recyclable,ok
0.877,0.137,0.901,0.193,0.523,perlu_cek_manual,R_1535.jpg,Recyclable,ok
0.232,0.632,0.347,0.378,0.404,perlu_cek_manual,R_1536.jpg,Recyclable,ok
0.441,0.442,0.949,0.384,0.531,perlu_cek_manual,R_1540.jpg,Recyclable,ok
0.477,0.565,0.509,0.415,0.497,perlu_cek_manual,R_1542.jpg,Recyclable,ok
1.0,0.507,0.728,0.103,0.618,perlu_cek_manual,R_1546.jpg,Recyclable,ok
0.465,0.0,0.915,0.544,0.431,perlu_cek_manual,R_1549.jpg,Recyclable,ok
0.53,0.371,0.488,0.197,0.407,perlu_cek_manual,R_155.jpg,Recyclable,ok
0.827,0.409,0.983,0.164,0.6,perlu_cek_manual,R_1551.jpg,Recyclable,ok
0.467,0.314,0.423,0.321,0.383,perlu_cek_manual,R_1557.jpg,Recyclable,ok
0.394,0.414,0.874,0.136,0.444,perlu_cek_manual,R_1560.jpg,Recyclable,ok
0.17,0.336,0.903,0.306,0.394,perlu_cek_manual,R_1561.jpg,Recyclable,ok
0.566,0.235,0.887,0.445,0.507,perlu_cek_manual,R_1562.jpg,Recyclable,ok
0.599,0.497,0.913,0.136,0.539,perlu_cek_manual,R_1563.jpg,Recyclable,ok
0.382,0.0,0.831,0.477,0.376,perlu_cek_manual,R_1568.jpg,Recyclable,ok
0.954,0.307,0.99,0.347,0.646,perlu_cek_manual,R_1569.jpg,Recyclable,ok
0.824,0.487,0.957,0.266,0.638,perlu_cek_manual,R_1571.jpg,Recyclable,ok
0.454,0.0,0.812,0.275,0.354,perlu_cek_manual,R_1572.jpg,Recyclable,ok
1.0,0.227,0.998,0.077,0.583,perlu_cek_manual,R_1573.jpg,Recyclable,ok
0.612,0.574,0.916,0.062,0.551,perlu_cek_manual,R_1574.jpg,Recyclable,ok
0.685,0.68,0.431,0.433,0.582,perlu_cek_manual,R_1575.jpg,Recyclable,ok
0.251,0.611,0.865,0.266,0.485,perlu_cek_manual,R_1579.jpg,Recyclable,ok
0.228,1.0,0.516,0.179,0.507,perlu_cek_manual,R_1582.jpg,Recyclable,ok
0.365,0.957,0.414,0.455,0.57,perlu_cek_manual,R_1584.jpg,Recyclable,ok
0.411,0.0,0.929,0.4,0.389,perlu_cek_manual,R_1588.jpg,Recyclable,ok
0.438,0.464,0.871,0.479,0.541,perlu_cek_manual,R_1591.jpg,Recyclable,ok
1.0,0.287,0.903,0.377,0.642,perlu_cek_manual,R_1592.jpg,Recyclable,ok
0.517,0.448,0.414,0.255,0.423,perlu_cek_manual,R_1594.jpg,Recyclable,ok
0.382,0.068,0.848,0.546,0.414,perlu_cek_manual,R_1595.jpg,Recyclable,ok
0.588,1.0,0.437,0.348,0.633,perlu_cek_manual,R_1598.jpg,Recyclable,ok
0.792,0.41,0.444,0.286,0.507,perlu_cek_manual,R_1599.jpg,Recyclable,ok
1.0,0.377,0.947,0.143,0.631,perlu_cek_manual,R_1600.jpg,Recyclable,ok
0.331,0.41,0.871,0.464,0.489,perlu_cek_manual,R_1601.jpg,Recyclable,ok
0.542,0.516,0.938,0.453,0.595,perlu_cek_manual,R_1603.jpg,Recyclable,ok
0.411,0.648,0.688,0.462,0.548,perlu_cek_manual,R_1606.jpg,Recyclable,ok
0.339,0.466,0.432,0.424,0.413,perlu_cek_manual,R_1607.jpg,Recyclable,ok
0.714,0.621,0.928,0.293,0.645,perlu_cek_manual,R_1609.jpg,Recyclable,ok
0.436,0.219,0.49,0.32,0.358,perlu_cek_manual,R_161.jpg,Recyclable,ok
0.52,1.0,0.894,0.071,0.649,perlu_cek_manual,R_1611.jpg,Recyclable,ok
0.306,0.348,0.836,0.521,0.468,perlu_cek_manual,R_1616.jpg,Recyclable,ok
1.0,0.0,0.947,0.583,0.606,perlu_cek_manual,R_1617.jpg,Recyclable,ok
0.641,0.263,0.881,0.374,0.522,perlu_cek_manual,R_1622.jpg,Recyclable,ok
0.18,0.778,0.37,0.328,0.427,perlu_cek_manual,R_1625.jpg,Recyclable,ok
0.642,0.455,0.486,0.42,0.51,perlu_cek_manual,R_1627.jpg,Recyclable,ok
0.528,0.621,0.485,0.427,0.527,perlu_cek_manual,R_1629.jpg,Recyclable,ok
0.272,0.423,0.386,0.403,0.366,perlu_cek_manual,R_1633.jpg,Recyclable,ok
0.151,0.852,0.463,0.395,0.472,perlu_cek_manual,R_1636.jpg,Recyclable,ok
0.356,0.313,0.902,0.186,0.418,perlu_cek_manual,R_1648.jpg,Recyclable,ok
0.686,0.137,0.574,0.265,0.415,perlu_cek_manual,R_1649.jpg,Recyclable,ok
0.155,0.333,0.689,0.389,0.362,perlu_cek_manual,R_1653.jpg,Recyclable,ok
0.695,0.363,0.94,0.455,0.597,perlu_cek_manual,R_1669.jpg,Recyclable,ok
0.76,0.372,0.939,0.354,0.598,perlu_cek_manual,R_1672.jpg,Recyclable,ok
0.138,0.548,0.29,0.531,0.37,perlu_cek_manual,R_1676.jpg,Recyclable,ok
0.428,0.522,0.445,0.4,0.454,perlu_cek_manual,R_168.jpg,Recyclable,ok
0.47,0.341,0.474,0.428,0.423,perlu_cek_manual,R_1681.jpg,Recyclable,ok
0.486,0.28,0.392,0.628,0.434,perlu_cek_manual,R_1683.jpg,Recyclable,ok
0.877,0.576,0.852,0.127,0.632,perlu_cek_manual,R_1688.jpg,Recyclable,ok
1.0,0.0,1.0,0.2,0.54,perlu_cek_manual,R_169.jpg,Recyclable,ok
0.286,0.452,0.419,0.436,0.392,perlu_cek_manual,R_1694.jpg,Recyclable,ok
0.107,0.505,0.741,0.125,0.357,perlu_cek_manual,R_1695.jpg,Recyclable,ok
0.446,0.451,0.405,0.412,0.433,perlu_cek_manual,R_1698.jpg,Recyclable,ok
0.362,0.504,0.531,0.332,0.432,perlu_cek_manual,R_1699.jpg,Recyclable,ok
0.623,0.379,0.497,0.284,0.457,perlu_cek_manual,R_170.jpg,Recyclable,ok
0.54,0.27,0.896,0.426,0.507,perlu_cek_manual,R_1703.jpg,Recyclable,ok
0.792,0.369,0.546,0.539,0.565,perlu_cek_manual,R_1707.jpg,Recyclable,ok
0.297,0.918,0.497,0.282,0.52,perlu_cek_manual,R_1710.jpg,Recyclable,ok
0.319,0.418,0.47,0.27,0.369,perlu_cek_manual,R_172.jpg,Recyclable,ok
0.311,0.304,0.79,0.481,0.439,perlu_cek_manual,R_1720.jpg,Recyclable,ok
0.504,0.304,0.531,0.409,0.43,perlu_cek_manual,R_1727.jpg,Recyclable,ok
0.413,0.277,0.573,0.556,0.433,perlu_cek_manual,R_1728.jpg,Recyclable,ok
0.714,0.423,0.849,0.293,0.569,perlu_cek_manual,R_1729.jpg,Recyclable,ok
0.579,0.314,0.462,0.381,0.437,perlu_cek_manual,R_1730.jpg,Recyclable,ok
0.419,0.355,0.43,0.369,0.392,perlu_cek_manual,R_1733.jpg,Recyclable,ok
0.192,0.593,0.468,0.407,0.411,perlu_cek_manual,R_1736.jpg,Recyclable,ok
0.413,0.318,0.903,0.225,0.445,perlu_cek_manual,R_1740.jpg,Recyclable,ok
0.39,0.749,0.558,0.337,0.521,perlu_cek_manual,R_1742.jpg,Recyclable,ok
0.076,0.634,0.828,0.25,0.429,perlu_cek_manual,R_1743.jpg,Recyclable,ok
0.587,0.632,0.934,0.341,0.621,perlu_cek_manual,R_1744.jpg,Recyclable,ok
1.0,0.45,0.85,0.13,0.631,perlu_cek_manual,R_1751.jpg,Recyclable,ok
0.533,0.297,0.944,0.114,0.461,perlu_cek_manual,R_1753.jpg,Recyclable,ok
0.398,0.436,0.587,0.53,0.474,perlu_cek_manual,R_1754.jpg,Recyclable,ok
0.638,0.562,0.697,0.464,0.592,perlu_cek_manual,R_1757.jpg,Recyclable,ok
0.4,0.12,0.837,0.274,0.378,perlu_cek_manual,R_1760.jpg,Recyclable,ok
0.459,0.359,0.518,0.448,0.439,perlu_cek_manual,R_1763.jpg,Recyclable,ok
0.548,0.44,0.863,0.475,0.564,perlu_cek_manual,R_1765.jpg,Recyclable,ok
1.0,0.21,0.319,0.449,0.516,perlu_cek_manual,R_1768.jpg,Recyclable,ok
0.635,0.355,0.473,0.244,0.44,perlu_cek_manual,R_1769.jpg,Recyclable,ok
