label,channel,bin,nilai
Recyclable,value,11,0.041366089145569565
Recyclable,value,12,0.04374448745887531
Recyclable,value,13,0.046775121428216965
Recyclable,value,14,0.049839811072132575
Recyclable,value,15,0.053379782646767515
Recyclable,value,16,0.05672422740080836
Recyclable,value,17,0.06068311694329248
Recyclable,value,18,0.06513681672142607
Recyclable,value,19,0.06995053385813318
Recyclable,value,20,0.07439161674760171
Recyclable,value,21,0.08054600564686731
Recyclable,value,22,0.08637827664651196
Recyclable,value,23,0.0924450429179235
Recyclable,value,24,0.0975938668189344
Recyclable,value,25,0.10567057458661364
Recyclable,value,26,0.11148386073313245
Recyclable,value,27,0.11892045259485316
Recyclable,value,28,0.12539355931923415
Recyclable,value,29,0.1264223013607607
Recyclable,value,30,0.12769726211172955
Recyclable,value,31,0.5858781220579679
Electronic,hue,0,0.48132261468387966
Electronic,hue,1,0.1363079689587752
Electronic,hue,2,0.23257681453244
Electronic,hue,3,0.20778106884691952
Electronic,hue,4,0.0898536376133299
Electronic,hue,5,0.12078623050858728
Electronic,hue,6,0.04692772425524613
Electronic,hue,7,0.02876521563009383
Electronic,hue,8,0.027036797930347894
Electronic,hue,9,0.01491802572326102
Electronic,hue,10,0.02711929059556315
Electronic,hue,11,0.024715597432209985
Electronic,hue,12,0.044676042451666516
Electronic,hue,13,0.04067524008073741
Electronic,hue,14,0.02379801028722958
Electronic,hue,15,0.05743059880431664
Electronic,hue,16,0.07743391594492605
Electronic,hue,17,0.11596988902313084
Electronic,hue,18,0.11448576209392854
Electronic,hue,19,0.062291193937431384
Electronic,hue,20,0.10118646297753542
Electronic,hue,21,0.04417707856193945
Electronic,hue,22,0.01998235063618009
Electronic,hue,23,0.018526162907394707
Electronic,hue,24,0.008716119560812413
Electronic,hue,25,0.02010771347729761
Electronic,hue,26,0.015413849449349674
Electronic,hue,27,0.03189548840468407
Electronic,hue,28,0.032881899312746196
Electronic,hue,29,0.035264130547445746
Electronic,saturation,0,0.5729988353439155
Electronic,saturation,1,0.23538416157876293
Electronic,saturation,2,0.20166090017685784
Electronic,saturation,3,0.17616518754279858
Electronic,saturation,4,0.15042438327381683
Electronic,saturation,5,0.1255374667631606
Electronic,saturation,6,0.10802438313263102
Electronic,saturation,7,0.0904704252969498
Electronic,saturation,8,0.08778795257821104
Electronic,saturation,9,0.07377058861157844
Electronic,saturation,10,0.06789582032578133
Electronic,saturation,11,0.05939232724775744
Electronic,saturation,12,0.05831177008413481
Electronic,saturation,13,0.05146097185281234
Electronic,saturation,14,0.04853068959180828
Electronic,saturation,15,0.04165185974290682
Electronic,saturation,16,0.04399855487358297
Electronic,saturation,17,0.03699749017739305
Electronic,saturation,18,0.03291757022055219
Electronic,saturation,19,0.03224345599441053
Electronic,saturation,20,0.027490538407323663
Electronic,saturation,21,0.02821351934041957
Electronic,saturation,22,0.024035337610367854
Electronic,saturation,23,0.022972404074014918
Electronic,saturation,24,0.018605760117288796
Electronic,saturation,25,0.01813190806489431
Electronic,saturation,26,0.016335884309812854
Electronic,saturation,27,0.015000465864939413
Electronic,saturation,28,0.01329050546925638
Electronic,saturation,29,0.013554854015966424
Electronic,saturation,30,0.013345665906957668
Electronic,saturation,31,0.05719522451591853
Electronic,value,0,0.09403507124241026
Electronic,value,1,0.0685474936194713
Electronic,value,2,0.0873290994649098
Electronic,value,3,0.10057464684048874
Electronic,value,4,0.10631191189770797
Electronic,value,5,0.10855814129971832
Electronic,value,6,0.10780774497691296
Electronic,value,7,0.10506431152057309
Electronic,value,8,0.10156021765670685
Electronic,value,9,0.0990141981351493
Electronic,value,10,0.09463408233742306
Electronic,value,11,0.09251656641652078
Electronic,value,12,0.09154667077086363
Electronic,value,13,0.09212927281200164
Electronic,value,14,0.09317372848191338
Electronic,value,15,0.09284196122261054
Electronic,value,16,0.0940064309972399
Electronic,value,17,0.09439895280334176
Electronic,value,18,0.09473187578249122
Electronic,value,19,0.09737839368481521
Electronic,value,20,0.09883114281101238
Electronic,value,21,0.09949902577837283
Electronic,value,22,0.09820835902402451
Electronic,value,23,0.0994671908421259
Electronic,value,24,0.10199714357580904
Electronic,value,25,0.10197510298385094
Electronic,value,26,0.09806968977466027
Electronic,value,27,0.09054743461096078
Electronic,value,28,0.08178181565160643
Electronic,value,29,0.07376805989859928
Electronic,value,30,0.07306275121462821
Electronic,value,31,0.41074025014734306
Organic,hue,0,0.38475933375838706
Organic,hue,1,0.20110792292557605
Organic,hue,2,0.3290480416932121
Organic,hue,3,0.2496661471259644
Organic,hue,4,0.13051608303532536
Organic,hue,5,0.1305289765409598
Organic,hue,6,0.10223656118440502
Organic,hue,7,0.08848945381905106
Organic,hue,8,0.059389685262929946
Organic,hue,9,0.03396184335555739
Organic,hue,10,0.03256900234942635
Organic,hue,11,0.017711596259366604
Organic,hue,12,0.019783567406079557
Organic,hue,13,0.014665032080158168
Organic,hue,14,0.010842521485177179
Organic,hue,15,0.028293526309801118
Organic,hue,16,0.027418429318508956
Organic,hue,17,0.037731717179931554
Organic,hue,18,0.04301959281599772
Organic,hue,19,0.020485821739935378
Organic,hue,20,0.03986980728920883
Organic,hue,21,0.012136087547643047
Organic,hue,22,0.010593220067163765
Organic,hue,23,0.00997702766723455
Organic,hue,24,0.005977087085236564
Organic,hue,25,0.01864819156708058
Organic,hue,26,0.011044835123614614
Organic,hue,27,0.02043616033517678
Organic,hue,28,0.026438226316339318
Organic,hue,29,0.05738736845453588
Organic,saturation,0,0.421257220082882
Organic,saturation,1,0.1423948917221566
Organic,saturation,2,0.11384077527581805
Organic,saturation,3,0.1006808618999114
Organic,saturation,4,0.09405286112906415
Organic,saturation,5,0.0909443548608597
Organic,saturation,6,0.09070189575551901
Organic,saturation,7,0.08990375889556948
Organic,saturation,8,0.09154607836393759
Organic,saturation,9,0.09297981725222723
Organic,saturation,10,0.09459418725858341
Organic,saturation,11,0.09513420996599048
Organic,saturation,12,0.09767943123749895
Organic,saturation,13,0.09791442467758518
Organic,saturation,14,0.09893111951317453
Organic,saturation,15,0.0973434651430735
Organic,saturation,16,0.10237446011038105
Organic,saturation,17,0.09777770895151164
Organic,saturation,18,0.09590510135249504
Organic,saturation,19,0.09572805057915948
Organic,saturation,20,0.09201994083881922
Organic,saturation,21,0.09186198102838697
Organic,saturation,22,0.08692285423924938
Organic,saturation,23,0.08445020756151
Organic,saturation,24,0.0781835815497073
Organic,saturation,25,0.07585977623815991
Organic,saturation,26,0.07176830182899704
Organic,saturation,27,0.0686216488156329
Organic,saturation,28,0.06541987862581966
Organic,saturation,29,0.06577866354928698
Organic,saturation,30,0.07129504500516129
Organic,saturation,31,0.1721990256806626
Organic,value,0,0.0479241962889379
Organic,value,1,0.03480741319831059
Organic,value,2,0.03767323394157516
Organic,value,3,0.04241285297530408
Organic,value,4,0.04753196424565556
Organic,value,5,0.05240695372395226
Organic,value,6,0.05729812243768539
Organic,value,7,0.06218531887560602
Organic,value,8,0.0672273203666499
Organic,value,9,0.0724543276268477
Organic,value,10,0.0761945755905244
Organic,value,11,0.08086333872691791
Organic,value,12,0.08520892513515003
Organic,value,13,0.08932329248813316
Organic,value,14,0.09359649375981775
Organic,value,15,0.09799831271563127
Organic,value,16,0.1022257997948542
Organic,value,17,0.1057649050089344
Organic,value,18,0.10909656345411078
Organic,value,19,0.1123777939397653
Organic,value,20,0.1157294183206273
Organic,value,21,0.11867658645915706
Organic,value,22,0.12169314035596535
Organic,value,23,0.12451189895571785
Organic,value,24,0.1281796734692177
Organic,value,25,0.13054171109990564
Organic,value,26,0.1334542576092816
Organic,value,27,0.1371722669147307
Organic,value,28,0.13916347630021209
Organic,value,29,0.14385338027106426
Organic,value,30,0.15097864061231517
Organic,value,31,0.44690598157348344
