File,Prob_Recyclable,Prob_Electronic,Prob_Organic,Prediksi
81.jpg,0.122,0.1094,0.7685,Organic
82.jpg,0.1057,0.0741,0.8202,Organic
83.jpg,0.1,0.0779,0.8221,Organic
84.jpg,0.0415,0.0405,0.9181,Organic
85.jpg,0.8479,0.0795,0.0726,Recyclable
86.jpg,0.7147,0.1565,0.1288,Recyclable
87.jpg,0.1092,0.0476,0.8431,Organic
88.jpg,0.8757,0.0449,0.0794,Recyclable
89.jpg,0.0444,0.0773,0.8783,Organic
90.jpg,0.9025,0.0096,0.0879,Recyclable
91.jpg,0.045,0.0548,0.9002,Organic
92.jpg,0.0503,0.0509,0.8987,Organic
93.jpg,0.0156,0.0427,0.9417,Organic
94.jpg,0.0934,0.0322,0.8743,Organic
95.jpg,0.7052,0.0821,0.2127,Recyclable
96.jpg,0.9197,0.0224,0.0579,Recyclable
97.jpg,0.8802,0.0727,0.0471,Recyclable
98.jpg,0.0602,0.0208,0.919,Organic
99.jpg,0.0208,0.01,0.9692,Organic
100.jpg,0.8317,0.1154,0.0529,Recyclable
101.jpg,0.9284,0.024,0.0476,Recyclable
102.jpg,0.111,0.0482,0.8409,Organic
103.jpg,0.6093,0.055,0.3357,Recyclable
104.jpg,0.0667,0.0806,0.8527,Organic
105.jpg,0.0536,0.0629,0.8836,Organic
106.jpg,0.6574,0.0869,0.2558,Recyclable
107.jpg,0.4644,0.0518,0.4837,Organic
108.jpg,0.1178,0.0249,0.8573,Organic
109.jpg,0.0248,0.0124,0.9628,Organic
110.jpg,0.0143,0.108,0.8777,Organic
111.jpg,0.1071,0.0361,0.8568,Organic
112.jpg,0.749,0.0887,0.1623,Recyclable
113.jpg,0.0153,0.0407,0.944,Organic
114.jpg,0.919,0.0517,0.0293,Recyclable
115.jpg,0.8151,0.0271,0.1578,Recyclable
116.jpg,0.3539,0.0723,0.5739,Organic
117.jpg,0.8074,0.0589,0.1337,Recyclable
118.jpg,0.5441,0.0654,0.3905,Recyclable
119.jpg,0.0493,0.9283,0.0224,Electronic
120.jpg,0.1182,0.0636,0.8182,Organic
121.jpg,0.0684,0.0366,0.895,Organic
122.jpg,0.1183,0.8464,0.0353,Electronic
123.jpg,0.0292,0.0163,0.9545,Organic
124.jpg,0.5402,0.0185,0.4413,Recyclable
125.jpg,0.0984,0.0676,0.8341,Organic
126.jpg,0.044,0.0658,0.8902,Organic
127.jpg,0.0842,0.0326,0.8832,Organic
128.jpg,0.0237,0.0347,0.9416,Organic
129.jpg,0.0625,0.0212,0.9163,Organic
130.jpg,0.5454,0.012,0.4426,Recyclable
131.jpg,0.0284,0.0134,0.9582,Organic
132.jpg,0.1947,0.0965,0.7088,Organic
133.jpg,0.0121,0.9295,0.0584,Electronic
134.jpg,0.0414,0.0508,0.9078,Organic
135.jpg,0.0569,0.814,0.1291,Electronic
136.jpg,0.5462,0.1652,0.2886,Recyclable
137.jpg,0.0293,0.9268,0.0438,Electronic
138.jpg,0.8805,0.0654,0.0541,Recyclable
139.jpg,0.107,0.0774,0.8155,Organic
140.jpg,0.0469,0.8901,0.063,Electronic
141.jpg,0.4579,0.0692,0.473,Organic
142.jpg,0.1192,0.0427,0.8381,Organic
143.jpg,0.1011,0.0432,0.8557,Organic
144.jpg,0.6472,0.0377,0.3151,Recyclable
145.jpg,0.8354,0.0471,0.1175,Recyclable
146.jpg,0.0186,0.0095,0.972,Organic
147.jpg,0.05,0.0177,0.9323,Organic
148.jpg,0.8396,0.0209,0.1394,Recyclable
149.jpg,0.1107,0.145,0.7444,Organic
150.jpg,0.1286,0.0497,0.8217,Organic
151.jpg,0.0704,0.0411,0.8885,Organic
152.jpg,0.5145,0.1396,0.3459,Recyclable
153.jpg,0.0222,0.0282,0.9496,Organic
154.jpg,0.0129,0.8348,0.1522,Electronic
155.jpg,0.3842,0.0353,0.5805,Organic
156.jpg,0.0513,0.0634,0.8853,Organic
157.jpg,0.1467,0.8139,0.0394,Electronic
158.jpg,0.4725,0.0616,0.4659,Recyclable
159.jpg,0.0582,0.035,0.9068,Organic
160.jpg,0.8469,0.0965,0.0566,Recyclable
161.jpg,0.9312,0.0528,0.0161,Recyclable
162.jpg,0.7783,0.0591,0.1626,Recyclable
163.jpg,0.6636,0.1417,0.1948,Recyclable
164.jpg,0.7194,0.0786,0.202,Recyclable
165.jpg,0.0653,0.0127,0.922,Organic
166.jpg,0.7285,0.1107,0.1607,Recyclable
167.jpg,0.1461,0.0321,0.8218,Organic
168.jpg,0.0231,0.0594,0.9175,Organic
169.jpg,0.7792,0.0483,0.1726,Recyclable
170.jpg,0.3331,0.0999,0.567,Organic
171.jpg,0.0204,0.0275,0.9521,Organic
172.jpg,0.0945,0.8192,0.0863,Electronic
173.jpg,0.7531,0.0759,0.1709,Recyclable
174.jpg,0.5291,0.0593,0.4116,Recyclable
175.jpg,0.0309,0.0307,0.9384,Organic
176.jpg,0.0296,0.0325,0.9379,Organic
177.jpg,0.8482,0.0084,0.1434,Recyclable
178.jpg,0.4038,0.0279,0.5682,Organic
179.jpg,0.7402,0.18,0.0797,Recyclable
180.jpg,0.0592,0.0261,0.9147,Organic
181.jpg,0.8809,0.0673,0.0519,Recyclable
182.jpg,0.0298,0.9373,0.0329,Electronic
183.jpg,0.2964,0.0372,0.6665,Organic
184.jpg,0.916,0.0322,0.0518,Recyclable
185.jpg,0.0377,0.946,0.0163,Electronic
186.jpg,0.0527,0.0429,0.9044,Organic
187.jpg,0.3359,0.2207,0.4433,Organic
188.jpg,0.8685,0.0447,0.0868,Recyclable
189.jpg,0.0412,0.0132,0.9456,Organic
190.jpg,0.0248,0.0698,0.9055,Organic
191.jpg,0.0364,0.0276,0.936,Organic
192.jpg,0.0416,0.8264,0.132,Electronic
193.jpg,0.6338,0.1607,0.2055,Recyclable
194.jpg,0.0712,0.8536,0.0752,Electronic
195.jpg,0.6458,0.1602,0.194,Recyclable
196.jpg,0.1368,0.0116,0.8515,Organic
197.jpg,0.7953,0.0755,0.1292,Recyclable
198.jpg,0.7532,0.093,0.1538,Recyclable
199.jpg,0.0324,0.918,0.0495,Electronic
200.jpg,0.0671,0.8704,0.0625,Electronic
